label,rmsAW_i1,rmsAW_i2,rmsTHELI_i1,rmsExpo_i1,rmsTHELI_i2,rmsExpo_i2,MeasSeeing_i1,MeasBeta_i1,seeing_e1_i1,MeasSeeing_i2,MeasBeta_i2,seeing_e1_i2,InputSeeing_i1,InputBeta_i1,InputSeeing_i2,InputBeta_i2
10.5_-31.2,7.1136687668410055,6.935638838628637,8.144439371156265,18.211520072531048,7.940612906345923,17.755750241601657,1.0890000000000002,2.2880000000000003,0.0338487254492269,0.944,2.5175,0.0450070323488044,1.0740000000000005,2.252159187129551,0.928,2.461598026190929
9.3_-31.2,7.651184877055477,4.855606658899339,8.759841565740812,19.58760121312465,5.559184063773852,12.43071346603186,0.676,2.989,0.0821765685730149,0.8580000000000001,2.097,0.0271377368151563,0.652,2.753891175641386,0.8380000000000002,2.0257020000000003
9.2_-30.2,6.095466396158219,4.588187479826744,6.978699476961543,15.60484642502824,5.253015845653637,11.746100517765075,0.572,3.208,0.0363733644632521,0.82,1.988,0.0268625499973221,0.5399999999999998,2.749000445037829,0.7999999999999998,1.925230914231857
9.4_-32.1,6.164362549916692,5.645325462063751,7.057578683399618,15.781225692635012,6.4633331215167855,14.452452220937442,0.5599999999999999,3.189,0.0504782716718615,0.8400000000000001,2.2425,0.0351598173515981,0.5259999999999998,2.688018387096774,0.8220000000000001,2.173081468312069
10.6_-32.1,10.002821416995152,8.945310519072455,11.452230240317746,25.607965311329234,10.24148601328605,22.90065891632092,0.686,2.659,0.0360627384552061,0.634,2.633,0.0467961876832845,0.6620000000000001,2.470235882542755,0.606,2.403810069008783
11.5_-30.2,15.149886124549973,6.0704457046516485,17.34510462399726,38.7848330161038,6.9500532872556695,15.54079159754955,0.876,2.619,0.0734052878294568,0.956,2.1855,0.0250767656090071,0.858,2.524801381998582,0.9389999999999998,2.1241493198013397
11.7_-31.2,6.164048224273299,7.580828232396742,7.057218811970497,15.78042099565634,8.679290243271026,19.4074829804047,0.912,2.17,0.0338164251207728,0.542,2.867,0.0606516290726817,0.8939999999999999,2.1091191822531536,0.5040000000000001,2.3937440420560745
8.2_-31.2,6.129702149302084,6.875804738395111,7.017895990735953,15.692492494308826,7.87210884498856,17.602570503671775,0.75,2.747,0.0466758249679734,0.852,2.563,0.0626470614832298,0.73,2.615436965108624,0.834,2.4732578011611035
10.3_-29.2,7.133845624332092,7.600537935821755,8.16753985529781,18.263174325384696,8.701855882722324,19.45794128417356,0.79,2.404,0.044993361354747,1.03,2.3775,0.0280898876404493,0.77,2.307435348125478,1.014,2.333213707228184
9.1_-29.2,7.006370389709903,4.645954854029597,8.021593459178865,17.93682826259163,5.319153712378483,11.893989283648654,0.942,2.491,0.1488350615890906,0.875,1.9915,0.0479240062284598,0.9259999999999998,2.436037413660783,0.857,1.939828136158058
8.1_-30.2,7.127421651636295,6.290930217566872,8.160185048958391,18.24672847844841,7.202486006092308,16.105248316613366,1.042,2.481,0.05203171456888,0.7650000000000001,2.3575,0.0290084388185654,1.03,2.440375438596491,0.7440000000000002,2.251478479058097
8.2_-32.1,6.805735161395012,7.651020902632302,7.791886186281147,17.423187185466233,8.75965383142372,19.58718142642992,0.902,2.523,0.0478124284471309,0.564,2.976,0.0595028462707669,0.886,2.447328800298063,0.5299999999999998,2.539100878234038
9.5_-33.1,6.641911167849858,8.109907992116465,7.604324096071299,17.00378560175507,9.285033660174138,20.761966437523053,0.5740000000000001,3.2535,0.0696673020174954,0.5660000000000001,3.004,0.0365853658536586,0.5420000000000001,2.7934272015871264,0.532,2.574245247148289
10.7_-33.1,10.45687691423629,8.482234878595767,11.972078379109124,26.7703810876435,9.71131071250429,21.71515090378151,0.6400000000000001,3.233,0.094398993077407,0.558,3.186,0.0445544554455444,0.6140000000000002,2.9097800049492704,0.5250000000000001,2.6917871833730245
11.4_-29.2,8.665504145180963,8.561418425979552,9.92113569581768,22.18433382984801,9.801967955903985,21.917866662675973,0.5700000000000001,3.08,0.0914014895057548,0.976,2.485,0.0672866520787746,0.5370000000000001,2.6349215143120963,0.962,2.440177463149728
8.3_-33.1,5.755662527327926,5.959064543087045,6.58965802753774,14.73492329805157,6.822532995380356,15.255647556405735,0.8340000000000001,2.461,0.1619547657512116,0.87,2.319,0.0416129161625816,0.8160000000000002,2.3819298479087445,0.8519999999999999,2.244163372327552
12.8_-31.2,7.926160777632775,5.508827276969253,9.07466147431176,20.29155992935956,6.307056349402096,14.103006735184753,0.852,3.045,0.0967213114754097,0.7080000000000001,2.398,0.041687594173782,0.836,2.937644230769231,0.684,2.260743722304284
12.7_-30.2,6.957114278348674,8.663388924023705,7.965200137281394,17.810728961351852,9.918713979114736,22.17891870667798,0.8720000000000001,2.4805,0.0787213740458016,0.531,3.299,0.0437615598027127,0.8540000000000001,2.4080010438413364,0.4940000000000001,2.6677822791916164
